service_id,date,exception_type
"3441_345288","20220228","1"
"3441_345288","20220301","1"
"3441_345288","20220302","1"
"3441_345288","20220303","1"
"3441_345288","20220304","1"
"3441_345288","20220305","1"
"3441_345288","20220307","1"
"3441_345288","20220308","1"
"3441_345288","20220309","1"
"3441_345288","20220310","1"
"3441_345288","20220311","1"
"3441_345288","20220312","1"
"3441_345288","20220314","1"
"3441_345288","20220315","1"
"3441_345288","20220316","1"
"3441_345288","20220317","1"
"3441_345288","20220318","1"
"3441_345288","20220319","1"
"3441_345288","20220321","1"
"3441_345288","20220322","1"
"3441_345288","20220323","1"
"3441_345288","20220324","1"
"3441_345288","20220325","1"
"3441_345288","20220326","1"
"3441_345288","20220328","1"
"3441_345288","20220329","1"
"3441_345288","20220330","1"
"3441_345288","20220331","1"
"3441_345289","20220306","1"
"3441_345289","20220313","1"
"3441_345289","20220320","1"
"3441_345289","20220327","1"
"3441_345290","20220228","1"
"3441_345290","20220301","1"
"3441_345290","20220302","1"
"3441_345290","20220303","1"
"3441_345290","20220304","1"
"3441_345290","20220305","1"
"3441_345290","20220307","1"
"3441_345290","20220308","1"
"3441_345290","20220309","1"
"3441_345290","20220310","1"
"3441_345290","20220311","1"
"3441_345290","20220312","1"
"3441_345290","20220314","1"
"3441_345290","20220315","1"
"3441_345290","20220316","1"
"3441_345290","20220317","1"
"3441_345290","20220318","1"
"3441_345290","20220319","1"
"3441_345290","20220321","1"
"3441_345290","20220322","1"
"3441_345290","20220323","1"
"3441_345290","20220324","1"
"3441_345290","20220325","1"
"3441_345290","20220326","1"
"3441_345290","20220328","1"
"3441_345290","20220329","1"
"3441_345290","20220330","1"
"3441_345290","20220331","1"
"3441_345291","20220228","1"
"3441_345291","20220301","1"
"3441_345291","20220302","1"
"3441_345291","20220303","1"
"3441_345291","20220304","1"
"3441_345291","20220307","1"
"3441_345291","20220308","1"
"3441_345291","20220309","1"
"3441_345291","20220310","1"
"3441_345291","20220311","1"
"3441_345291","20220314","1"
"3441_345291","20220315","1"
"3441_345291","20220316","1"
"3441_345291","20220317","1"
"3441_345291","20220318","1"
"3441_345291","20220321","1"
"3441_345291","20220322","1"
"3441_345291","20220323","1"
"3441_345291","20220324","1"
"3441_345291","20220325","1"
"3441_345291","20220328","1"
"3441_345291","20220329","1"
"3441_345291","20220330","1"
"3441_345291","20220331","1"
"3441_345292","20220306","1"
"3441_345292","20220313","1"
"3441_345292","20220320","1"
"3441_345292","20220327","1"
"3441_345293","20220305","1"
"3441_345293","20220312","1"
"3441_345293","20220319","1"
"3441_345293","20220326","1"
"3441_345294","20220301","1"
"3441_345294","20220303","1"
"3441_345294","20220304","1"
"3441_345294","20220305","1"
"3441_345294","20220308","1"
"3441_345294","20220310","1"
"3441_345294","20220311","1"
"3441_345294","20220312","1"
"3441_345294","20220315","1"
"3441_345294","20220317","1"
"3441_345294","20220318","1"
"3441_345294","20220319","1"
"3441_345294","20220322","1"
"3441_345294","20220324","1"
"3441_345294","20220325","1"
"3441_345294","20220326","1"
"3441_345294","20220329","1"
"3441_345294","20220331","1"
"3441_345295","20220228","1"
"3441_345295","20220302","1"
"3441_345295","20220307","1"
"3441_345295","20220309","1"
"3441_345295","20220314","1"
"3441_345295","20220316","1"
"3441_345295","20220321","1"
"3441_345295","20220323","1"
"3441_345295","20220328","1"
"3441_345295","20220330","1"
"3441_345296","20220228","1"
"3441_345296","20220301","1"
"3441_345296","20220302","1"
"3441_345296","20220303","1"
"3441_345296","20220304","1"
"3441_345296","20220305","1"
"3441_345296","20220307","1"
"3441_345296","20220308","1"
"3441_345296","20220309","1"
"3441_345296","20220310","1"
"3441_345296","20220311","1"
"3441_345296","20220312","1"
"3441_345296","20220314","1"
"3441_345296","20220315","1"
"3441_345296","20220316","1"
"3441_345296","20220317","1"
"3441_345296","20220318","1"
"3441_345296","20220319","1"
"3441_345296","20220321","1"
"3441_345296","20220322","1"
"3441_345296","20220323","1"
"3441_345296","20220324","1"
"3441_345296","20220325","1"
"3441_345296","20220326","1"
"3441_345296","20220328","1"
"3441_345296","20220329","1"
"3441_345296","20220330","1"
"3441_345296","20220331","1"
"3441_345297","20220228","1"
"3441_345297","20220301","1"
"3441_345297","20220302","1"
"3441_345297","20220303","1"
"3441_345297","20220304","1"
"3441_345297","20220305","1"
"3441_345297","20220307","1"
"3441_345297","20220308","1"
"3441_345297","20220309","1"
"3441_345297","20220310","1"
"3441_345297","20220311","1"
"3441_345297","20220312","1"
"3441_345297","20220314","1"
"3441_345297","20220315","1"
"3441_345297","20220316","1"
"3441_345297","20220317","1"
"3441_345297","20220318","1"
"3441_345297","20220319","1"
"3441_345297","20220321","1"
"3441_345297","20220322","1"
"3441_345297","20220323","1"
"3441_345297","20220324","1"
