trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
"3441_11908431","14:50:00","14:50:00","C0009_600","1","0"
"3441_11908431","14:53:00","14:53:00","C0455_600","2","1.071"
"3441_11908431","14:54:00","14:54:00","C0457_600","3","1.348"
"3441_11908431","14:55:00","14:55:00","C0460_600","4","1.649"
"3441_11908431","14:56:00","14:56:00","C0463_600","5","2.019"
"3441_11908431","14:57:00","14:57:00","C0467_600","6","2.559"
"3441_11908431","14:57:00","14:57:00","C0470_600","7","2.816"
"3441_11908431","14:58:00","14:58:00","C0475_600","8","3.341"
"3441_11908431","15:00:00","15:00:00","C0481_600","9","3.666"
"3441_11908431","15:02:00","15:02:00","C0658_600","10","4.104"
"3441_11908431","15:04:00","15:04:00","C0928_600","11","4.554"
"3441_11908431","15:05:00","15:05:00","C0930_600","12","4.914"
"3441_11908431","15:06:00","15:06:00","C3121_600","13","5.656"
"3441_11908431","15:06:00","15:06:00","C3303_600","14","6.316"
"3441_11908431","15:06:00","15:06:00","C4834_600","15","7.019"
"3441_11908431","15:07:00","15:07:00","C3305_600","16","7.178"
"3441_11908431","15:07:00","15:07:00","C3307_600","17","7.407"
"3441_11908431","15:08:00","15:08:00","C3311_600","18","9.237"
"3441_11908431","15:15:00","15:15:00","C4760_600","19","11.189"
"3441_11908432","14:50:00","14:50:00","C0009_600","1","0"
"3441_11908432","14:53:00","14:53:00","C0455_600","2","1.071"
"3441_11908432","14:54:00","14:54:00","C0457_600","3","1.348"
"3441_11908432","14:55:00","14:55:00","C0460_600","4","1.649"
"3441_11908432","14:56:00","14:56:00","C0463_600","5","2.019"
"3441_11908432","14:57:00","14:57:00","C0467_600","6","2.559"
"3441_11908432","14:57:00","14:57:00","C0470_600","7","2.816"
"3441_11908432","14:58:00","14:58:00","C0475_600","8","3.341"
"3441_11908432","15:00:00","15:00:00","C0481_600","9","3.666"
"3441_11908432","15:02:00","15:02:00","C0658_600","10","4.104"
"3441_11908432","15:04:00","15:04:00","C0928_600","11","4.554"
"3441_11908432","15:05:00","15:05:00","C0930_600","12","4.914"
"3441_11908432","15:06:00","15:06:00","C3121_600","13","5.656"
"3441_11908432","15:06:00","15:06:00","C3303_600","14","6.316"
"3441_11908432","15:06:00","15:06:00","C4834_600","15","7.019"
"3441_11908432","15:07:00","15:07:00","C3305_600","16","7.178"
"3441_11908432","15:07:00","15:07:00","C3307_600","17","7.407"
"3441_11908432","15:08:00","15:08:00","C3311_600","18","9.237"
"3441_11908432","15:15:00","15:15:00","C4760_600","19","11.189"
"3441_11908433","15:25:00","15:25:00","C4760_600","1","0"
"3441_11908433","15:28:00","15:28:00","C4358_600","2",".602"
"3441_11908433","15:30:00","15:30:00","C4359_600","3","1.258"
"3441_11908433","15:33:00","15:33:00","C3310_600","4","2.295"
"3441_11908433","15:34:00","15:34:00","C3308_600","5","2.853"
"3441_11908433","15:36:00","15:36:00","C4894_600","6","4.529"
"3441_11908433","15:38:00","15:38:00","C0931_600","7","6.612"
"3441_11908433","15:38:00","15:38:00","C0929_600","8","6.982"
"3441_11908433","15:39:00","15:39:00","C0927_600","9","7.434"
"3441_11908433","15:39:00","15:39:00","C0482_600","10","7.689"
"3441_11908433","15:40:00","15:40:00","C0474_600","11","8.177"
"3441_11908433","15:41:00","15:41:00","C0471_600","12","8.675"
"3441_11908433","15:42:00","15:42:00","C0468_600","13","9.014"
"3441_11908433","15:43:00","15:43:00","C0464_600","14","9.354"
"3441_11908433","15:45:00","15:45:00","C0459_600","15","9.977"
"3441_11908433","15:47:00","15:47:00","C0454_600","16","10.401"
"3441_11908433","15:55:00","15:55:00","C0009_600","17","11.313"
"3441_11908434","15:25:00","15:25:00","C4760_600","1","0"
"3441_11908434","15:28:00","15:28:00","C4358_600","2",".602"
"3441_11908434","15:30:00","15:30:00","C4359_600","3","1.258"
"3441_11908434","15:33:00","15:33:00","C3310_600","4","2.295"
"3441_11908434","15:34:00","15:34:00","C3308_600","5","2.853"
"3441_11908434","15:36:00","15:36:00","C4894_600","6","4.529"
"3441_11908434","15:38:00","15:38:00","C0931_600","7","6.612"
"3441_11908434","15:38:00","15:38:00","C0929_600","8","6.982"
"3441_11908434","15:39:00","15:39:00","C0927_600","9","7.434"
"3441_11908434","15:39:00","15:39:00","C0482_600","10","7.689"
"3441_11908434","15:40:00","15:40:00","C0474_600","11","8.177"
"3441_11908434","15:41:00","15:41:00","C0471_600","12","8.675"
"3441_11908434","15:42:00","15:42:00","C0468_600","13","9.014"
"3441_11908434","15:43:00","15:43:00","C0464_600","14","9.354"
"3441_11908434","15:45:00","15:45:00","C0459_600","15","9.977"
"3441_11908434","15:47:00","15:47:00","C0454_600","16","10.401"
"3441_11908434","15:55:00","15:55:00","C0009_600","17","11.313"
"3441_11908457","18:53:00","18:53:00","C0149_600","1","0"
"3441_11908457","18:55:00","18:55:00","C0241_1_600","2",".539"
"3441_11908457","18:56:00","18:56:00","C0243_600","3","1.197"
"3441_11908457","18:57:00","18:57:00","C0244_600","4","1.468"
"3441_11908457","18:58:00","18:58:00","C0245_1_600","5","1.773"
"3441_11908457","18:59:00","18:59:00","C5500_600","6","2.083"
"3441_11908457","19:00:00","19:00:00","C0247_600","7","2.373"
"3441_11908457","19:01:00","19:01:00","C5502_600","8","2.648"
"3441_11908457","19:01:00","19:01:00","C0249_600","9","2.974"
"3441_11908457","19:02:00","19:02:00","C0251_600","10","3.318"
"3441_11908457","19:03:00","19:03:00","C0252_600","11","3.699"
"3441_11908457","19:04:00","19:04:00","C0036_600","12","3.971"
"3441_11908457","19:05:00","19:05:00","C0112_600","13","4.387"
